page;product_name;model_name;model_sku;price;codici_modelli
216;Datori d'impulso semplici;XK11;401303;57,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
216;Datori d'impulso semplici;XK11 INOX;401045;80,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
216;Datori d'impulso semplici;XK10 B;401304;47,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
216;Datori d'impulso semplici;XK10 B INOX;401046;72,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
216;Datori d'impulso semplici;XK11 B;401305;63,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
216;Datori d'impulso semplici;XK11 B INOX;401047;89,00;"401012; 401013; 401016; 401014; 401015; 401017; 391456; 401302; 401044; 401303; 401045; 401304; 401046; 401305; 401047"
220;Datori d'impulso elettronici;XTR B;786041;133,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;XTR B INOX;786040;194,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;MINISERVICE;790904;135,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;FG1 monocanale;785529;411,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;FG2 bicanale;785527;636,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;XKP B INOX;404039;203,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
220;Datori d'impulso elettronici;XKP W 433 INOX;404037;236,00;"786041; 786040; 790904; 785529; 785527; 404039; 404037; 404038"
