codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
1097805,3,3,accessorio,,"Motoriduttore 740 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",,
1097815,3,1,Modello,741 E Z16 con encoder,"Motoriduttore 741 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",220-240V~ 50/60 Hz,500 W
1097815,3,2,Modello,741 E Z16 con encoder,Motoriduttore 230V,220-240V~ 50/60 Hz,500 W
1097815,3,3,accessorio,,"Motoriduttore 741 E Z16 con apparecchiatura elettronica ed encoder incorporati, piastra di fondazione",,
109885,3,1,Modello,884 MC 3PH,,220-240V / 380-415V~ 3PH 50/60 Hz,850 W
109885,3,2,Modello,884 MC 3PH,Motoriduttore 400V,220-240V / 380-415V~ 3PH 50/60 Hz,850 W
109885,3,3,accessorio,,Motoriduttore 884 MC 3PH,,
109903,3,1,Modello,C851,,220-240V~ 50/60 Hz,1.800 W
109903,3,2,Modello,C851,Motoriduttore 230V,220-240V~ 50/60 Hz,1.800 W
109903,3,3,accessorio,,Motoriduttore C851,,
109926,3,1,Modello,844,,220-240V~ 50/60 Hz,230 W
109926,3,2,accessorio,,844,,
109926,3,3,accessorio,,,,
109928,3,1,Modello,844 C 3PH,,380-415V~ 3 50/60 Hz,950 W
109928,3,2,Modello,844 C 3PH,Motoriduttore 400V,380-415V~ 3 50/60 Hz,950 W
109928,3,3,accessorio,,Motoriduttore 844 C 3PH,,
109951,3,1,Modello,RL200_220/60 EF,Motoriduttore RL200_220/60 EF per serrande,,
109951,3,2,accessorio,,,,
109951,3,3,Modello,RL200 EF,Motoriduttore 230V,220-240V ~ 50/60Hz,
110549,3,1,Modello,550 ITT,Attuatore elettromeccanico 550 ITT con apparecchiatura elettronica ed encoder incorporati,220-240V~ 50/60 Hz,350 W
110549,3,2,accessorio,,,,
110549,3,3,accessorio,,Attuatore elettromeccanico 550 ITT con apparecchiatura elettronica ed encoder incorporati,,
110597,3,1,Modello,593,,220-240V~ 50/60 Hz,220 W
110597,3,2,Modello,593,Attuatore oleodinamico 230V,220-240V~ 50/60 Hz,220 W
110597,3,3,accessorio,,Attuatore oleodinamico 593,,
110600,3,1,Modello,D600,Attuatore D600 per porte basculanti a traino,220-240V~ 50/60 Hz,220 W
110600,3,2,Modello,D600,Attuatore elettromeccanico 24V a traino,220-240V~ 50/60 Hz,220 W
110600,3,3,accessorio,,Attuatore D600,,
110601,3,1,Modello,D1000,,220-240V~ 50/60 Hz,350 W
110601,3,2,Modello,D1000,Attuatore elettromeccanico 24V a traino,220-240V~ 50/60 Hz,350 W
110601,3,3,accessorio,,Attuatore D1000,,
110602,3,1,Modello,D700 HS,,220-240V~ 50/60 Hz,440 W
110602,3,2,Modello,D700 HS,Attuatore elettromeccanico 24V a traino,220-240V~ 50/60 Hz,440 W
110602,3,3,accessorio,,Attuatore D700 HS,,
202269,3,1,Apparecchiature Elettroniche,,Scheda 740D (incorporata nell'automatismo),,
202269,3,2,accessorio,,Cremagliera zincata 30x12 mod. 4 attacchi a saldare inclusi (conf. 4 pezzi da 1m),,
202269,3,3,accessorio,,,,
390035,3,1,Accessori,,Dispositivo di sblocco idraulico (da abbinare al codice 390972) per attuatori CBAC o SBW,,
390035,3,2,accessorio,,tivo di sblocco idraulico (da abbinare al codice 390972) per attuatori CBAC o SBW,,
390035,3,3,accessorio,,Dispositivo di sblocco idraulico (da abbinare al codice 390972) per attuatori CBAC o SBW,,
390080,3,1,Accessori,,Kit collegamento XBAT (da abbinare a 390923),,
390080,3,2,accessorio,,da abbinare a 390923),,
390080,3,3,accessorio,,,,
390091,3,1,Accessori,,Kit sblocco esterno per S2500I,,
390091,3,2,accessorio,,Arresti meccanici integrati S2500I,,
390091,3,3,accessorio,,,,
390120,3,1,Accessori,,"Binario unico a cinghia 2400 mm (dim. max porta 3,00 x 2,15 m)",,
390120,3,2,accessorio,,Unico a cinghia,,
390120,3,3,accessorio,,Binario unico cinghia corsa max. 2020,,
390126,3,1,Accessori,,"Binario unico a cinghia 3000 mm (dim. max porta 3,00 x 2,60 m)",,
390126,3,2,accessorio,,Unico a cinghia,,
390126,3,3,accessorio,,,,
390132,3,1,Accessori,,"Binario unico a cinghia 3600 mm (dim. max porta 3,00 x 3,20 m)",,
390132,3,2,accessorio,,Unico a cinghia,,
390132,3,3,accessorio,,,,
390139,3,1,Accessori,,"Binario unico a cinghia 4200 mm (dim. max porta 3,00 x 3,80 m)",,
390139,3,2,accessorio,,Due pezzi a cinghia,,
390139,3,3,accessorio,,,,
390178,3,1,Accessori,,Kit n°4 viti di fissaggio ad avvitare (conf. da 4 kit) da abbinare a 1 m di 490333,,
390178,3,2,accessorio,,it n°4 viti di fissaggio ad avvitare (conf. da 4 kit) da abbinare a 1 m di 490333,,
390178,3,3,accessorio,,,,
390184,3,1,Accessori,,Kit installazione luci asta rettangolare,,
390184,3,2,accessorio,,Kit installazione luci asta rettangolare,,
390184,3,3,accessorio,,,,
390226,3,1,Accessori,,"Binario due pezzi a cinghia 3000 mm (dim. max porta 3,00 x 2,60 m)",,
390226,3,2,accessorio,,Due pezzi a cinghia,,
390226,3,3,accessorio,,,,
390232,3,1,Accessori,,"Binario due pezzi a cinghia 3600 mm (dim. max porta 3,00 x 3,20 m)",,
390232,3,2,accessorio,,Due pezzi a cinghia,,
390232,3,3,accessorio,,,,
390239,3,1,Accessori,,"Binario due pezzi a cinghia 4200 mm (dim. max porta 3,00 x 3,80 m)",,
390239,3,2,accessorio,,Automazioni per porte sezionali,,
390239,3,3,accessorio,,,,
390433,3,1,Accessori,,Confezioni con due bracci telescopici curvi,,
390433,3,2,accessorio,,Confezioni con due bracci telescopici curvi,,
390433,3,3,accessorio,,,,
390435,3,1,Accessori,,"Coppia tubi di trasmissione, supporti laterali, installazione con 2 attuatori",,
390435,3,2,accessorio,,"Coppia tubi di trasmissione, supporti laterali, installazione con 2 attuatori",,
390435,3,3,accessorio,,,,
390488,3,1,Accessori,,Cavo e guaina per sblocco esterno (applicazione alla maniglia esistente),,
390488,3,2,accessorio,,applicazione alla maniglia esistente),,
390488,3,3,accessorio,,Cavo e guaina per sblocco esterno (applicazione alla maniglia esistente),,
390548,3,1,Accessori,,Adattatore GDA 2400 per porte basculanti a contrappesi di altezza max 2400 mm,,
390548,3,2,accessorio,,Adattatore GDA 2400 per porte basculanti a contrappesi di altezza max 2400 mm,,
390548,3,3,accessorio,,,,
390563,3,1,Accessori,,Confezioni con due bracci telescopici dritti,,
390563,3,2,accessorio,,Confezioni con due bracci telescopici dritti,,
390563,3,3,accessorio,,,,
390612,3,1,Accessori,,Kit apertura a 140°,,
390612,3,2,accessorio,,Kit apertura a 140°,,
390612,3,3,accessorio,,,,
390682,3,1,Accessori,,Kit Finecorsa singolo (apertura o chiusura),,
390682,3,2,accessorio,,Kit Finecorsa singolo (apertura o chiusura),,
390682,3,3,accessorio,,,,
390765,3,1,Accessori,,Supporto centrale binario (fornito di serie con binari in due pezzi),,
390765,3,2,accessorio,,fornito di serie con binari in due pezzi,,
390765,3,3,accessorio,,,,
390768,3,1,Accessori,,Braccio ricurvo per porte sezionali,,
390768,3,2,accessorio,,Braccio ricurvo per porte sezionali,,
390768,3,3,accessorio,,,,
390828,3,1,Accessori,,Sensore sfondamento per aste tonde pivottanti,,
390828,3,2,accessorio,,Sensore sfondamento per aste tonde pivottanti,,
390828,3,3,accessorio,,,,
390923,3,1,Accessori,,Kit batteria d'emergenza XBAT 24,,
390923,3,2,accessorio,,Kit batteria d’emergenza XBAT 24,,
390923,3,3,accessorio,,,,
390926,3,1,Accessori,,Kit supporto batteria d'emergenza (specifico per E124S),,
390926,3,2,accessorio,,specifico per E124S),,
390926,3,3,accessorio,,,,
390972,3,1,Accessori,,Kit giunto scanalato per attuatori CBAC o SBW,,
390972,3,2,accessorio,,Kit giunto scanalato per attuatori CBAC o SBW,,
390972,3,3,accessorio,,Kit giunto scanalato per attuatori CBAC o SBW (da abbinare al codice 390035),,
401051,3,1,Accessori,,Gruppo antipanico,,
401051,3,2,accessorio,,Gruppo antipanico,,
401051,3,3,accessorio,,,,
401057,3,1,Accessori,,Dispositivo sblocco esterno con cavo e guaina (Lunghezza 5 m),,
401057,3,2,accessorio,,Lunghezza 5 m,,
401057,3,3,accessorio,,,,
401065,3,1,accessorio,,Adattatore per colonnetta o incasso,,
401065,3,2,accessorio,,Adattatore per colonnette a murare,,
401065,3,3,accessorio,,Adattatori per colonnette/a murare,,
401066,3,1,Accessori,,Valvola antivandalismo,,
401066,3,2,accessorio,,Valvola antivandalismo,,
401066,3,3,accessorio,,,,
401069,3,1,Accessori,,Valvola antivandalismo salvaguarda il sistema idraulico in caso di forzature sull'asta,,
401069,3,2,accessorio,,la antivandalismo salvaguarda il sistema idraulico in caso di forzature sull'asta,,
401069,3,3,accessorio,,,,
401302,3,1,Accessori,XK10,Pulsante a chiave e di comando XK10,,
401302,3,2,Modello,XK10,,,
401302,3,3,accessorio,,Pulsante a chiave XK10,,
401304,3,1,Accessori,XK10 B,Pulsante a chiave e di comando XK10 B,,
401304,3,2,Modello,XK10 B,,,
401304,3,3,accessorio,,Pulsante a chiave XK10B,,
402502,3,1,Apparecchiature Elettroniche,,"Unità elettronica EB 540BPR 3PH (scheda 540BPR, contenitore, sezionatore, teleruttori, pulsantiera comando e chiave attivazione)",,
402502,3,2,accessorio,,,,
402502,3,3,accessorio,,"Unità elettronica EB 540BPR 3PH comprende scheda 540BPR, contenitore, sezionatore, teleruttori, pulsantiera di comando e chiave di attivazione)",,
404035,3,1,Accessori,Gruppo encoder per 770N,Gruppo encoder per 770N (confezione singola - 2 confezioni per 2 ante),,
404035,3,2,accessorio,,Gruppo encoder per 770N,,
404035,3,3,accessorio,,,,
404040,3,1,Accessori,SAFEcoder,SAFEcoder encoder assoluto magnetico BUS (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante),,
404040,3,2,accessorio,,Brevetto FAAC),,
404040,3,3,accessorio,,,,
404041,3,1,Accessori,SAFEcoder 412,SAFEcoder per attuatore 412 (Brevetto FAAC) (confezione singola - 2 confezioni per 2 ante),,
